dateiname;Bahnhof;TimeOrder;Deadlock;Postion;Bahnhofslänge
track_0_0;;12;0;1;3
track_0_1;;0;0;0;1
track_0_10;;78;0;1;5
track_0_100;;0;0;0;4
track_0_1000;;0;0;0;3
track_0_1001;;0;0;1;4
track_0_1002;;0;3;1;4
track_0_1003;;78;0;1;5
track_0_1004;;0;2;1;5
track_0_1005;;0;0;0;4
track_0_1006;;0;0;1;3
track_0_1007;;7;2;0;5
track_0_1008;;0;0;1;4
track_0_1009;;12;3;1;4
track_0_101;;0;0;1;3
track_0_1010;;0;0;0;2
track_0_1011;;15;0;1;3
track_0_1012;;0;0;1;3
track_0_1013;;20;0;1;4
track_0_1014;;0;0;0;1
track_0_1015;;0;0;0;1
track_0_1016;;0;0;0;2
track_0_1017;;0;0;0;2
track_0_1018;;0;1;0;4
track_0_1019;;0;0;0;3
track_0_102;;7;2;1;5
track_0_1020;;0;0;1;4
track_0_1021;;14;3;1;4
track_0_1022;;6;0;0;2
track_0_1023;;15;0;1;3
track_0_1024;;0;0;0;2
track_0_1025;;0;0;0;2
track_0_1026;;0;0;0;4
track_0_1027;;0;0;0;2
track_0_1028;;0;0;0;2
track_0_1029;;12;3;2;5
track_0_103;;26;0;1;5
track_0_1030;;0;0;0;3
track_0_1031;;0;3;1;4
track_0_1032;;15;0;1;3
track_0_1033;;0;0;0;1
track_0_1034;;0;0;0;1
track_0_1035;;24;0;1;5
track_0_1036;;15;0;1;4
track_0_1037;;0;0;0;4
track_0_1038;;0;3;1;5
track_0_1039;;15;0;1;4
track_0_104;;0;3;1;4
track_0_1040;;0;0;0;3
track_0_1041;;18;0;0;4
track_0_1042;;0;0;1;3
track_0_1043;;18;0;2;6
track_0_1044;;0;0;0;3
track_0_1045;;0;0;1;4
track_0_1046;;12;0;1;4
track_0_1047;;0;0;1;3
track_0_1048;;0;2;1;4
track_0_1049;;15;0;1;3
track_0_105;;0;0;0;1
track_0_1050;;0;0;1;4
track_0_1051;;24;0;1;4
track_0_1052;;15;0;1;3
track_0_1053;;12;0;1;3
track_0_1054;;5;0;0;2
track_0_1055;;0;0;1;3
track_0_1056;;0;0;1;4
track_0_1057;;0;0;0;3
track_0_1058;;0;0;0;2
track_0_1059;;0;0;1;3
track_0_106;;0;0;0;2
track_0_1060;;4;2;0;3
track_0_1061;;0;0;1;4
track_0_1062;;0;0;1;5
track_0_1063;;0;0;0;2
track_0_1064;;0;1;0;4
track_0_1065;;0;0;0;3
track_0_1066;;0;0;1;4
track_0_1067;;0;3;1;4
track_0_1068;;78;0;1;5
track_0_1069;;0;2;1;5
track_0_107;;0;0;0;1
track_0_1070;;0;0;0;4
track_0_1071;;0;0;1;3
track_0_1072;;7;2;0;5
track_0_1073;;0;0;1;4
track_0_1074;;12;3;1;4
track_0_1075;;0;0;0;2
track_0_1076;;15;0;1;3
track_0_1077;;0;0;1;3
track_0_1078;;20;0;1;4
track_0_1079;;0;0;0;1
track_0_108;;12;0;1;3
track_0_1080;;0;0;0;1
track_0_1081;;0;0;0;2
track_0_1082;;0;0;0;2
track_0_1083;;0;1;0;4
track_0_1084;;0;0;0;3
track_0_1085;;0;0;1;4
track_0_1086;;14;3;1;4
track_0_1087;;6;0;0;2
track_0_1088;;15;0;1;3
track_0_1089;;0;0;0;2
track_0_109;;0;0;0;1
track_0_1090;;0;0;0;2
track_0_1091;;0;0;0;4
track_0_1092;;0;0;0;2
track_0_1093;;0;0;0;2
track_0_1094;;12;3;2;5
track_0_1095;;0;0;0;3
track_0_1096;;0;3;1;4
track_0_1097;;15;0;1;3
track_0_1098;;0;0;0;1
track_0_1099;;0;0;0;1
track_0_11;;0;0;0;3
track_0_110;;26;0;2;5
track_0_1100;;24;0;1;5
track_0_1101;;15;0;1;4
track_0_1102;;0;0;0;4
track_0_1103;;0;3;1;5
track_0_1104;;15;0;1;4
track_0_1105;;0;0;0;3
track_0_1106;;18;0;0;4
track_0_1107;;0;0;1;3
track_0_1108;;18;0;2;6
track_0_1109;;0;0;0;3
track_0_111;;12;1;2;8
track_0_1110;;0;0;1;4
track_0_1111;;12;0;1;4
track_0_1112;;0;0;1;3
track_0_1113;;0;2;1;4
track_0_1114;;15;0;1;3
track_0_1115;;0;0;1;4
track_0_1116;;24;0;1;4
track_0_1117;;15;0;1;3
track_0_1118;;12;0;1;3
track_0_1119;;5;0;0;2
track_0_112;;0;0;1;4
track_0_1120;;0;0;1;3
track_0_1121;;0;0;1;4
track_0_1122;;0;0;0;3
