dateiname;Bahnhof;TimeOrder;Deadlock;Postion;Bahnhofslänge
track_10_1001;KD_Stop_7;0;0;0;1
track_10_1033;KD_Stop_7;0;0;0;1
track_10_105;AR_Stop_2;0;0;0;2
track_10_1065;KD_Stop_7;0;0;0;1
track_10_1097;KD_Stop_7;0;0;0;1
track_10_1129;KD_Stop_7;0;0;0;1
track_10_1161;KD_Stop_7;0;0;0;1
track_10_1193;KD_Stop_7;0;0;0;1
track_10_1225;KD_Stop_7;0;0;0;1
track_10_1257;KD_Stop_7;0;0;0;1
track_10_1289;KD_Stop_7;0;0;0;1
track_10_1321;KD_Stop_7;0;0;0;1
track_10_1353;KD_Stop_7;0;0;0;1
track_10_137;AR_Stop_2;0;0;0;2
track_10_1385;KD_Stop_7;0;0;0;1
track_10_169;AR_Stop_2;0;0;0;2
track_10_201;AR_Stop_2;0;0;0;2
track_10_233;AR_Stop_2;0;0;0;2
track_10_265;AR_Stop_2;0;0;0;2
track_10_297;AR_Stop_2;0;0;0;2
track_10_329;AR_Stop_2;0;0;0;2
track_10_361;AR_Stop_2;0;0;0;2
track_10_393;KD_Stop_7;0;0;0;1
track_10_41;AR_Stop_2;0;0;0;2
track_10_425;KD_Stop_7;0;0;0;1
track_10_457;KD_Stop_7;0;0;0;1
track_10_489;KD_Stop_7;0;0;0;1
track_10_521;KD_Stop_7;0;0;0;1
track_10_553;KD_Stop_7;0;0;0;1
track_10_585;KD_Stop_7;0;0;0;1
track_10_617;KD_Stop_7;0;0;0;1
track_10_649;KD_Stop_7;0;0;0;1
track_10_681;KD_Stop_7;0;0;0;1
track_10_713;KD_Stop_7;0;0;0;1
track_10_73;AR_Stop_2;0;0;0;2
track_10_745;KD_Stop_7;0;0;0;1
track_10_777;KD_Stop_7;0;0;0;1
track_10_809;KD_Stop_7;0;0;0;1
track_10_841;KD_Stop_7;0;0;0;1
track_10_873;KD_Stop_7;0;0;0;1
track_10_9;AR_Stop_2;0;0;0;2
track_10_905;KD_Stop_7;0;0;0;1
track_10_937;KD_Stop_7;0;0;0;1
track_10_969;KD_Stop_7;0;0;0;1
track_11_10;AB_Stop_1;0;0;0;1
track_11_1002;SDB_Stop_5;0;0;0;1
track_11_1034;SDB_Stop_5;0;0;0;1
track_11_106;AB_Stop_1;0;0;0;1
track_11_1066;SDB_Stop_5;0;0;0;1
track_11_1098;SDB_Stop_5;0;0;0;1
track_11_1130;SDB_Stop_5;0;0;0;1
track_11_1162;SDB_Stop_5;0;0;0;1
track_11_1194;SDB_Stop_5;0;0;0;1
track_11_1226;SDB_Stop_5;0;0;0;1
track_11_1258;SDB_Stop_5;0;0;0;1
track_11_1290;SDB_Stop_5;0;0;0;1
track_11_1322;SDB_Stop_5;0;0;0;1
track_11_1354;SDB_Stop_5;0;0;0;1
track_11_138;AB_Stop_1;0;0;0;1
track_11_1386;SDB_Stop_5;0;0;0;1
track_11_170;AB_Stop_1;0;0;0;1
track_11_202;AB_Stop_1;0;0;0;1
track_11_234;AB_Stop_1;0;0;0;1
track_11_266;AB_Stop_1;0;0;0;1
track_11_298;AB_Stop_1;0;0;0;1
track_11_330;AB_Stop_1;0;0;0;1
track_11_362;AB_Stop_1;0;0;0;1
track_11_394;SDB_Stop_5;0;0;0;1
track_11_42;AB_Stop_1;0;0;0;1
track_11_426;SDB_Stop_5;0;0;0;1
track_11_458;SDB_Stop_5;0;0;0;1
track_11_490;SDB_Stop_5;0;0;0;1
track_11_522;SDB_Stop_5;0;0;0;1
track_11_554;SDB_Stop_5;0;0;0;1
track_11_586;SDB_Stop_5;0;0;0;1
track_11_618;SDB_Stop_5;0;0;0;1
track_11_650;SDB_Stop_5;0;0;0;1
track_11_682;SDB_Stop_5;0;0;0;1
track_11_714;SDB_Stop_5;0;0;0;1
track_11_74;AB_Stop_1;0;0;0;1
track_11_746;SDB_Stop_5;0;0;0;1
track_11_778;SDB_Stop_5;0;0;0;1
track_11_810;SDB_Stop_5;0;0;0;1
track_11_842;SDB_Stop_5;0;0;0;1
track_11_874;SDB_Stop_5;0;0;0;1
track_11_906;SDB_Stop_5;0;0;0;1
track_11_938;SDB_Stop_5;0;0;0;1
track_11_970;SDB_Stop_5;0;0;0;1
track_12_1003;SDB_Stop_5;0;0;0;1
track_12_1035;SDB_Stop_5;0;0;0;1
track_12_1067;SDB_Stop_5;0;0;0;1
track_12_107;AB_Stop_1;0;0;0;1
track_12_1099;SDB_Stop_5;0;0;0;1
track_12_11;AB_Stop_1;0;0;0;1
track_12_1131;SDB_Stop_5;0;0;0;1
track_12_1163;SDB_Stop_5;0;0;0;1
track_12_1195;SDB_Stop_5;0;0;0;1
track_12_1227;SDB_Stop_5;0;0;0;1
track_12_1259;SDB_Stop_5;0;0;0;1
track_12_1291;SDB_Stop_5;0;0;0;1
track_12_1323;SDB_Stop_5;0;0;0;1
track_12_1355;SDB_Stop_5;0;0;0;1
track_12_1387;SDB_Stop_5;0;0;0;1
track_12_139;AB_Stop_1;0;0;0;1
track_12_171;AB_Stop_1;0;0;0;1
track_12_203;AB_Stop_1;0;0;0;1
track_12_235;AB_Stop_1;0;0;0;1
track_12_267;AB_Stop_1;0;0;0;1
track_12_299;AB_Stop_1;0;0;0;1
track_12_331;AB_Stop_1;0;0;0;1
track_12_363;AB_Stop_1;0;0;0;1
track_12_395;SDB_Stop_5;0;0;0;1
track_12_427;SDB_Stop_5;0;0;0;1
track_12_43;AB_Stop_1;0;0;0;1
track_12_459;SDB_Stop_5;0;0;0;1
track_12_491;SDB_Stop_5;0;0;0;1
track_12_523;SDB_Stop_5;0;0;0;1
track_12_555;SDB_Stop_5;0;0;0;1
track_12_587;SDB_Stop_5;0;0;0;1
track_12_619;SDB_Stop_5;0;0;0;1
track_12_651;SDB_Stop_5;0;0;0;1
track_12_683;SDB_Stop_5;0;0;0;1
track_12_715;SDB_Stop_5;0;0;0;1
track_12_747;SDB_Stop_5;0;0;0;1
track_12_75;AB_Stop_1;0;0;0;1
track_12_779;SDB_Stop_5;0;0;0;1
track_12_811;SDB_Stop_5;0;0;0;1
track_12_843;SDB_Stop_5;0;0;0;1
track_12_875;SDB_Stop_5;0;0;0;1
track_12_907;SDB_Stop_5;0;0;0;1
track_12_939;SDB_Stop_5;0;0;0;1
track_12_971;SDB_Stop_5;0;0;0;1
track_13_1004;AR_Stop_2;0;0;0;2
track_13_1036;AR_Stop_2;0;0;0;2
track_13_1068;AR_Stop_2;0;0;0;2
track_13_108;KD_Stop_7;0;0;0;1
track_13_1100;AR_Stop_2;0;0;0;2
track_13_1132;AR_Stop_2;0;0;0;2
track_13_1164;AR_Stop_2;0;0;0;2
track_13_1196;AR_Stop_2;0;0;0;2
track_13_12;KD_Stop_7;0;0;0;1
track_13_1228;AR_Stop_2;0;0;0;2
track_13_1260;AR_Stop_2;0;0;0;2
track_13_1292;AR_Stop_2;0;0;0;2
track_13_1324;AR_Stop_2;0;0;0;2
track_13_1356;AR_Stop_2;0;0;0;2
track_13_1388;AR_Stop_2;0;0;0;2
track_13_140;KD_Stop_7;0;0;0;1
track_13_172;KD_Stop_7;0;0;0;1
track_13_204;KD_Stop_7;0;0;0;1
track_13_236;KD_Stop_7;0;0;0;1
track_13_268;KD_Stop_7;0;0;0;1
track_13_300;KD_Stop_7;0;0;0;1
track_13_332;KD_Stop_7;0;0;0;1
track_13_364;KD_Stop_7;0;0;0;1
track_13_396;AR_Stop_2;0;0;0;2
track_13_428;AR_Stop_2;0;0;0;2
track_13_44;KD_Stop_7;0;0;0;1
track_13_460;AR_Stop_2;0;0;0;2
track_13_492;AR_Stop_2;0;0;0;2
track_13_524;AR_Stop_2;0;0;0;2
track_13_556;AR_Stop_2;0;0;0;2
track_13_588;AR_Stop_2;0;0;0;2
track_13_620;AR_Stop_2;0;0;0;2
track_13_652;AR_Stop_2;0;0;0;2
track_13_684;AR_Stop_2;0;0;0;2
track_13_716;AR_Stop_2;0;0;0;2
track_13_748;AR_Stop_2;0;0;0;2
track_13_76;KD_Stop_7;0;0;0;1
track_13_780;AR_Stop_2;0;0;0;2
track_13_812;AR_Stop_2;0;0;0;2
track_13_844;AR_Stop_2;0;0;0;2
track_13_876;AR_Stop_2;0;0;0;2
track_13_908;AR_Stop_2;0;0;0;2
track_13_940;AR_Stop_2;0;0;0;2
track_13_972;AR_Stop_2;0;0;0;2
track_14_1005;AR_Stop_2;0;0;0;2
track_14_1037;AR_Stop_2;0;0;0;2
track_14_1069;AR_Stop_2;0;0;0;2
