
Parking Space HI.1, trackType Lifo, length 182000, cost 9.000000 / 2250.000000


Index; Vehicle Type; Vehicle length; in trip; in position; in time; in gate; out trip; out position; out time; out gate
0;SA;83780;613169;0;00:23:54;(L);613602;0;01:00:11;(L)
1;SA;83780;613168;0;00:23:34;(L);613601;0;00:23:51;(L)
2;SA;83780;613167;0;00:23:14;(L);613200;0;00:23:31;(L)
3;SA;83780;613166;0;00:22:54;(L);613271;0;00:23:11;(L)
4;SA;83780;613165;0;00:22:34;(L);613270;0;00:22:51;(L)
5;SA;83780;613164;0;00:22:14;(L);613269;0;00:22:31;(L)
6;SA;83780;613163;0;00:21:54;(L);613268;0;00:22:11;(L)
7;SA;83780;613162;0;00:21:34;(L);613267;0;00:21:51;(L)
8;SA;83780;613161;0;00:21:14;(L);613266;0;00:21:31;(L)
9;SA;83780;613160;0;00:20:54;(L);613265;0;00:21:11;(L)
10;SA;83780;613759;0;00:20:34;(L);613264;0;00:20:51;(L)
11;SA;83780;613757;0;00:19:54;(L);613262;0;00:20:11;(L)
12;SA;83780;613756;0;00:19:34;(L);613261;0;00:19:51;(L)
13;SA;83780;612156;0;00:19:20;(L);611217;0;01:05:00;(L)
14;SA;83780;612154;0;00:18:40;(L);613858;0;00:18:55;(L)
15;SE;42580;611251;1;00:18:39;(L);612218;1;01:05:30;(L)
16;SA;83780;611152;0;00:18:10;(L);611257;0;00:18:25;(L)
17;SA;83780;611151;0;00:17:50;(L);611256;0;00:18:05;(L)
18;SA;83780;611149;0;00:17:10;(L);642118;0;00:17:17;(L)
19;SE;42580;611148;0;00:16:50;(L);612125;0;00:16:57;(L)
20;SE;42580;612148;1;00:16:40;(L);612241;0;00:16:41;(L)
21;SE;42580;612148;1;00:16:40;(L);612241;0;00:16:41;(L)
22;SA;83780;611147;0;00:16:30;(L);642117;0;00:16:37;(L)
23;SE;42580;612147;1;00:16:20;(L);612245;0;00:16:21;(L)
24;SE;42580;612147;1;00:16:20;(L);612245;0;00:16:21;(L)
