Index; Vehicle Type; Vehicle length; in trip; in position; in time; in gate; out trip; out position; out time; out gate
0;SA;83780;642252;0;00:18:02;(L);642556;0;00:18:14;(L)
1;SA;83780;641250;0;00:17:32;(L);641155;0;00:17:44;(L)
2;SA;83780;641249;0;00:17:12;(L);641154;0;00:17:24;(L)
3;SE;42580;642249;1;00:17:05;(L);642125;0;01:07:49;(L)
4;SE;42580;642248;1;00:16:45;(L);641143;1;01:13:39;(L)
5;SA;83780;641247;0;00:16:32;(L);641152;0;00:16:44;(L)
6;SA;83780;641245;1;00:15:52;(L);641150;0;00:16:04;(L)
7;SA;83780;642244;0;00:15:22;(L);642148;0;00:15:34;(L)
8;SA;83780;641242;0;00:14:52;(L);641147;0;00:15:04;(L)
9;SA;83780;641240;0;00:14:12;(L);641145;0;00:14:24;(L)
10;SA;83780;641238;0;00:13:32;(L);641143;0;00:13:44;(L)
11;SA;83780;641237;0;00:13:12;(L);641142;0;00:13:24;(L)
12;SA;83780;642234;0;00:12:02;(L);642138;0;00:12:14;(L)
13;SA;83780;641228;0;00:10:12;(L);641133;0;00:10:24;(L)
14;SE;42580;642228;1;00:10:05;(L);642143;1;00:13:49;(L)
15;SA;83780;641225;0;00:09:12;(L);641130;0;00:09:24;(L)
16;SA;83780;642222;0;00:08:02;(L);642126;0;00:08:14;(L)
17;SA;83780;641219;0;00:07:12;(L);641124;0;00:07:24;(L)
18;SA;83780;641218;0;00:06:52;(L);641123;0;00:07:04;(L)
