Index; Vehicle length; in trip; in position; in time; in gate; out trip; out position; out time; out gate
0;83780;613859;0;1237;0;641117;0;3900;0
1;83780;641258;0;1210;0;613163;0;1228;0
2;83780;641257;0;1190;0;613162;0;1208;0
3;83780;642257;0;1180;0;612119;1;3923;0
4;83780;642256;0;1160;0;641119;0;3940;0
5;83780;642255;0;1140;0;642121;0;3990;0
6;83780;641253;0;1110;0;641158;0;1125;0
7;83780;642253;0;1100;0;642122;1;4010;0
8;83780;641251;0;1070;0;641156;0;1085;0
9;83780;642250;0;1040;0;642154;0;1055;0
10;83780;642249;0;1020;0;642153;0;1035;0
11;83780;642248;0;1000;0;642152;0;1015;0
12;83780;642247;1;980;0;642151;0;995;0
13;42580;642247;0;980;0;642145;0;4470;0
14;83780;642246;0;960;0;642150;0;975;0
15;42580;641245;0;950;0;641125;0;953;0
16;42580;641245;0;950;0;641125;0;953;0
17;83780;642245;0;940;0;642149;0;955;0
18;83780;641243;0;910;0;641148;0;925;0
19;42580;641226;0;890;0;642146;0;895;0
20;83780;642242;0;880;0;642146;1;895;0
21;83780;641241;0;870;0;641146;1;885;0
22;42580;642227;0;860;0;641145;1;865;0
23;42580;611123;1;840;0;641144;0;845;0
24;83780;642240;0;840;0;642144;1;855;0
25;42580;642229;1;800;0;641142;1;805;0
26;83780;642238;0;800;0;642142;1;815;0
27;83780;641236;0;770;0;641141;0;785;0
28;83780;641235;0;750;0;641140;0;765;0
29;83780;641234;0;730;0;641139;0;745;0
30;83780;642233;0;700;0;642137;0;715;0
31;83780;642232;0;680;0;642136;0;695;0
32;83780;642231;0;660;0;642135;0;675;0
33;83780;642230;0;640;0;642134;0;655;0
34;83780;642229;0;620;0;642133;0;635;0
35;42580;611123;1;600;0;641144;0;603;0
36;42580;611123;1;600;0;641144;0;603;0
37;83780;642228;0;600;0;642132;0;615;0
38;83780;642227;1;580;0;642131;0;595;0
39;42580;642227;0;580;0;641145;1;860;0
40;83780;642226;0;560;0;642130;0;575;0
41;83780;642225;0;540;0;642129;0;555;0
42;83780;642224;0;520;0;642128;0;535;0
43;83780;642223;0;500;0;642127;0;515;0
44;83780;641221;0;470;0;641126;0;485;0
45;42580;642226;1;450;0;642124;0;455;0
46;83780;641220;0;450;0;641125;1;465;0
47;42580;642246;1;440;0;641124;1;445;0
48;42580;641246;0;430;0;642123;1;435;0
49;83780;642255;0;390;0;642121;0;395;0
50;83780;642254;0;370;0;642120;0;375;0
51;83780;613270;0;350;0;642119;0;355;0
52;83780;613858;0;343;0;612120;1;348;0
53;83780;613200;0;320;0;641118;0;325;0
54;83780;613271;0;280;0;641116;0;285;0
55;83780;613200;0;57;0;641118;0;320;0
56;83780;613270;0;17;0;642119;0;350;0
